name,category,brand,size,surfaceFinish,thicknessMm,pcsPerBox,coveragePerBoxM2,priceRange,startingPriceNumeric,isFeatured,imageUrls,description
Calacatta Gold Glazed Porcelain,granite,Forma Luxe,60x120,Polished,9.5,2,1.44,"Rp 245.000 - 310.000 / m²",245000,true,https://images.unsplash.com/photo-1600585154340-be6161a56a0c?auto=format&fit=crop&w=1200&q=80,Luxurious golden Italian veined porcelain slab with mirror gloss finish
Nero Marquina Grand Slab,granite,Forma Luxe,80x80,Polished,10,3,1.92,"Rp 290.000 - 360.000 / m²",290000,true,https://images.unsplash.com/photo-1618221195710-dd6b41faaea6?auto=format&fit=crop&w=1200&q=80,Dramatic deep black marble aesthetic with sharp white mineral veining
Ceppo Di Gre Terrazzo,ceramic,Moda Gres,60x60,Matte,9,4,1.44,"Rp 175.000 - 225.000 / m²",175000,true,https://images.unsplash.com/photo-1615873968403-89e068629265?auto=format&fit=crop&w=1200&q=80,Authentic Milanese aggregate stone look with non-slip R10 matte surface
Travertine Warm Beige,granite,Forma Luxe,60x120,Honed / Satin,9.5,2,1.44,"Rp 260.000 - 325.000 / m²",260000,false,https://images.unsplash.com/photo-1600566753190-17f0baa2a6c3?auto=format&fit=crop&w=1200&q=80,Earthy linear travertine texture ideal for minimalist living rooms and luxury bathrooms
Scandinavian Natural Oak SPC,spc,Nordic Step,18x122,Wood Embossed,5,10,2.196,"Rp 195.000 - 245.000 / m²",195000,true,https://images.unsplash.com/photo-1581858726788-75bc0f6a952d?auto=format&fit=crop&w=1200&q=80,Rigid core waterproof SPC flooring with integrated acoustic IXPE underlay
Smoked Walnut Chevron SPC,spc,Nordic Step,15x90,Deep Wood Texture,5.5,12,1.62,"Rp 230.000 - 290.000 / m²",230000,false,https://images.unsplash.com/photo-1513694203232-719a280e022f?auto=format&fit=crop&w=1200&q=80,Elegant herringbone and chevron pattern SPC with enhanced 0.5mm commercial wear layer
Fluted Acoustic Oak Wall Panel,wall-panel,Aura Panel,16x290,Natural Wood Veneer,21,1,0.464,"Rp 160.000 - 210.000 / panel",160000,true,https://images.unsplash.com/photo-1534349762230-e0cadf78f5da?auto=format&fit=crop&w=1200&q=80,Architectural 3D slatted acoustic wall panel with sound dampening PET felt backing
Charcoal Linear 3D Wall Panel,wall-panel,Aura Panel,20x290,Matte Architectural Charcoal,18,1,0.58,"Rp 175.000 - 230.000 / panel",175000,false,https://images.unsplash.com/photo-1616486338812-3dadae4b4ace?auto=format&fit=crop&w=1200&q=80,Contemporary fluted exterior/interior decorative cladding panel water resistant
Pietra Grey Polished Granite,granite,Forma Luxe,60x120,Polished,9.5,2,1.44,"Rp 275.000 - 340.000 / m²",275000,false,https://images.unsplash.com/photo-1507089947368-19c1da9775ae?auto=format&fit=crop&w=1200&q=80,Refined charcoal-grey limestone granite with delicate white quartz veins
Pure White Micro-Crystal Ceramic,ceramic,Moda Gres,60x60,Super Glossy Nano,9,4,1.44,"Rp 145.000 - 185.000 / m²",145000,false,https://images.unsplash.com/photo-1502005229762-ee1b2da9c40f?auto=format&fit=crop&w=1200&q=80,Ultra-bright pristine white ceramic with stain-resistant nano glaze
